기준_년월_코드,기준_분기_코드,기준_분기_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총_직장_인구_수,남성_직장_인구_수,여성_직장_인구_수,연령대_10_직장_인구_수,연령대_20_직장_인구_수,연령대_30_직장_인구_수,연령대_40_직장_인구_수,연령대_50_직장_인구_수,연령대_60_이상_직장_인구_수,남성연령대_10_직장_인구_수,남성연령대_20_직장_인구_수,남성연령대_30_직장_인구_수,남성연령대_40_직장_인구_수,남성연령대_50_직장_인구_수,남성연령대_60_이상_직장_인구_수,여성연령대_10_직장_인구_수,여성연령대_20_직장_인구_수,여성연령대_30_직장_인구_수,여성연령대_40_직장_인구_수,여성연령대_50_직장_인구_수,여성연령대_60_이상_직장_인구_수
2020,1,R,전통시장,1001342,밤나무골시장,17,5,12,0,2,4,6,4,1,0,1,1,2,1,0,0,1,3,4,3,1
2020,1,R,전통시장,1001341,길음시장,91,19,72,0,36,24,10,8,13,0,2,5,3,2,7,0,34,19,7,6,6
2020,1,R,전통시장,1001340,정릉시장,131,72,59,0,4,16,38,46,27,0,2,9,23,22,16,0,2,7,15,24,11
2020,1,R,전통시장,1001339,정릉아리랑시장,22,7,15,0,1,7,8,5,1,0,0,2,1,3,1,0,1,5,7,2,0
2020,1,R,전통시장,1001338,돈암제일시장,97,22,75,1,20,20,25,18,13,0,0,2,7,8,5,1,20,18,18,10,8
2020,1,R,전통시장,1001337,유영시장,31,20,11,0,9,5,3,8,6,0,7,2,2,5,4,0,2,3,1,3,2
2020,1,R,전통시장,1001336,우림골목시장,344,118,226,2,85,71,81,68,37,0,29,11,36,22,20,2,56,60,45,46,17
2020,1,R,전통시장,1001335,묵1동도깨비시장,35,24,11,0,3,9,7,11,5,0,1,6,5,8,4,0,2,3,2,3,1
2020,1,R,전통시장,1001334,태능시장,81,34,47,2,15,9,24,15,16,1,2,4,6,9,12,1,13,5,18,6,4
2020,1,R,전통시장,1001333,중화제일시장,69,30,39,0,8,14,25,14,8,0,3,6,15,5,1,0,5,8,10,9,7
2020,1,R,전통시장,1001332,사가정시장,86,28,58,0,13,17,24,19,13,0,0,3,6,8,11,0,13,14,18,11,2
2020,1,R,전통시장,1001331,면목골목시장,45,21,24,0,1,3,15,20,6,0,1,2,8,6,4,0,0,1,7,14,2
2020,1,R,전통시장,1001330,동원시장,224,109,115,0,24,37,49,82,32,0,11,17,21,38,22,0,13,20,28,44,10
2020,1,R,전통시장,1001329,동부골목시장,179,59,120,1,20,41,38,44,35,0,1,8,7,22,21,1,19,33,31,22,14
2020,1,R,전통시장,1001327,이경시장,16,8,8,0,0,1,2,2,11,0,0,1,1,1,5,0,0,0,1,1,6
2020,1,R,전통시장,1001326,회기시장,55,17,38,0,9,14,15,12,5,0,2,3,4,6,2,0,7,11,11,6,3
2020,1,R,전통시장,1001325,청량리청과물시장,12,9,3,0,0,1,4,2,5,0,0,1,2,1,5,0,0,0,2,1,0
2020,1,R,전통시장,1001324,전곡시장,77,42,35,0,5,16,22,22,12,0,4,7,11,10,10,0,1,9,11,12,2
2020,1,R,전통시장,1001323,답십리시장,93,40,53,2,19,25,23,11,13,2,4,9,11,6,8,0,15,16,12,5,5
2020,1,R,전통시장,1001322,동부시장,14,9,5,0,0,0,1,1,12,0,0,0,0,0,9,0,0,0,1,1,3
2020,1,R,전통시장,1001321,답십리현대시장,36,31,5,0,4,4,7,13,8,0,3,4,6,11,7,0,1,0,1,2,1
2020,1,R,전통시장,1001320,전농로터리시장,7,3,4,0,1,0,2,3,1,0,0,0,1,1,1,0,1,0,1,2,0
2020,1,R,전통시장,1001319,청량리종합시장,13,8,5,0,1,3,2,2,5,0,1,1,2,1,3,0,0,2,0,1,2
2020,1,R,전통시장,1001318,청량리전통시장,9,7,2,0,0,0,1,5,3,0,0,0,1,4,2,0,0,0,0,1,1
2020,1,R,전통시장,1001316,서울약령시장,1171,642,529,4,112,206,302,338,209,0,55,127,163,178,119,4,57,79,139,160,90
2020,1,R,전통시장,1001315,동서시장,5,3,2,0,0,0,1,2,2,0,0,0,1,0,2,0,0,0,0,2,0
2020,1,R,전통시장,1001314,경동시장,130,61,69,0,18,32,24,19,37,0,3,11,11,12,24,0,15,21,13,7,13
2020,1,R,전통시장,1001313,청량리수산시장,20,11,9,0,1,5,6,3,5,0,0,5,3,0,3,0,1,0,3,3,2
2020,1,R,전통시장,1001312,용두시장,4,2,2,0,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,1,0
2020,1,R,전통시장,1001309,조양시장,31,19,12,0,11,7,8,5,0,0,6,5,4,4,0,0,5,2,4,1,0
2020,1,R,전통시장,1001308,영동교골목시장,41,30,11,0,8,12,3,8,10,0,3,12,1,6,8,0,5,0,2,2,2
2020,1,R,전통시장,1001307,능동로골목시장,56,42,14,0,1,5,4,7,39,0,1,1,4,2,34,0,0,4,0,5,5
2020,1,R,전통시장,1001306,노룬산골목시장,23,13,10,0,4,5,10,2,2,0,3,3,6,0,1,0,1,2,4,2,1
2020,1,R,전통시장,1001305,자양종합시장,14,10,4,0,0,1,6,6,1,0,0,1,4,4,1,0,0,0,2,2,0
2020,1,R,전통시장,1001304,자양골목시장,54,36,18,0,7,17,14,9,7,0,5,12,9,6,4,0,2,5,5,3,3
2020,1,R,전통시장,1001303,신성골목시장,19,6,13,0,2,5,7,4,1,0,0,1,2,2,1,0,2,4,5,2,0
2020,1,R,전통시장,1001302,면곡골목시장,49,35,14,0,8,8,7,18,8,0,6,8,5,10,6,0,2,0,2,8,2
2020,1,R,전통시장,1001301,중곡제일시장,111,68,43,0,15,21,29,24,22,0,7,14,20,10,17,0,8,7,9,14,5
2020,1,R,전통시장,1001300,화양제일골목시장,43,11,32,0,5,12,16,7,3,0,0,3,6,1,1,0,5,9,10,6,2
2020,1,R,전통시장,1001299,한아름시장,40,29,11,0,5,6,6,10,13,0,4,4,5,6,10,0,1,2,1,4,3
2020,1,R,전통시장,1001298,성동용답상가시장,66,33,33,0,5,10,20,21,10,0,1,6,6,13,7,0,4,4,14,8,3
2020,1,R,전통시장,1001297,뚝도시장,45,17,28,1,3,10,9,11,11,0,0,2,4,5,6,1,3,8,5,6,5
2020,1,R,전통시장,1001296,금남시장,36,13,23,0,6,7,8,4,11,0,1,0,5,2,5,0,5,7,3,2,6
2020,1,R,전통시장,1001295,행당시장,314,140,174,0,44,60,95,76,39,0,15,25,42,33,25,0,29,35,53,43,14
2020,1,R,전통시장,1001294,마장축산물시장,532,358,174,0,59,106,132,138,97,0,45,69,86,91,67,0,14,37,46,47,30
2020,1,R,전통시장,1001293,보광시장,31,12,19,0,0,6,10,13,2,0,0,3,4,4,1,0,0,3,6,9,1
2020,1,R,전통시장,1001292,이태원제일시장,2,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0
2020,1,R,전통시장,1001291,이태원시장,32,20,12,0,18,3,4,6,1,0,12,1,3,3,1,0,6,2,1,3,0
2020,1,R,전통시장,1001290,이촌종합시장,109,78,31,0,13,19,25,26,26,0,7,12,15,21,23,0,6,7,10,5,3
2020,1,R,전통시장,1001289,용문전통시장,19,10,9,0,2,3,4,6,4,0,1,2,1,4,2,0,1,1,3,2,2
2020,1,R,전통시장,1001288,만리시장,12,9,3,0,0,2,1,4,5,0,0,1,1,3,4,0,0,1,0,1,1
2020,1,R,전통시장,1001287,신흥시장,4,1,3,0,0,2,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0
2020,1,R,전통시장,1001286,후암시장,15,14,1,0,1,1,1,4,8,0,1,1,1,3,8,0,0,0,0,1,0
2020,1,R,전통시장,1001285,합동(새벽)시장,365,209,156,0,60,153,107,41,4,0,15,80,74,38,2,0,45,73,33,3,2
2020,1,R,전통시장,1001284,서울중앙시장,451,320,131,0,102,148,94,56,51,0,76,107,50,41,46,0,26,41,44,15,5
2020,1,R,전통시장,1001283,백학시장,95,43,52,0,11,14,29,24,17,0,4,6,12,11,10,0,7,8,17,13,7
2020,1,R,전통시장,1001282,약수시장,271,105,166,2,42,47,71,59,50,2,9,9,29,24,32,0,33,38,42,35,18
2020,1,R,전통시장,1001281,청평화시장,120,50,70,1,18,26,31,29,15,1,9,13,5,15,7,0,9,13,26,14,8
2020,1,R,전통시장,1001280,제일평화시장,53,29,24,1,6,16,16,11,3,1,1,10,9,6,2,0,5,6,7,5,1
2020,1,R,전통시장,1001279,동평화시장,178,121,57,0,17,34,34,64,29,0,8,24,21,44,24,0,9,10,13,20,5
2020,1,R,전통시장,1001278,남평화시장,5,3,2,0,0,4,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0
2020,1,R,전통시장,1001277,방산종합시장,1190,736,454,1,96,200,284,312,297,0,56,117,154,191,218,1,40,83,130,121,79
2020,1,R,전통시장,1001276,평화시장,906,614,292,3,110,289,263,165,76,0,61,164,204,128,57,3,49,125,59,37,19
2020,1,R,전통시장,1001275,인현시장,167,123,44,0,3,25,47,54,38,0,3,16,35,40,29,0,0,9,12,14,9
2020,1,R,전통시장,1001274,신중부시장,3089,921,2168,8,1868,593,250,198,172,3,316,189,171,120,122,5,1552,404,79,78,50
2020,1,R,전통시장,1001273,남대문시장,8186,3966,4220,71,2160,2561,1905,1091,398,32,750,1294,1199,470,221,39,1410,1267,706,621,177
2020,1,R,전통시장,1001272,신설종합시장,50,37,13,1,1,10,12,13,13,0,0,9,10,10,8,1,1,1,2,3,5
2020,1,R,전통시장,1001271,동묘시장,474,223,251,5,158,102,93,73,43,5,44,36,58,44,36,0,114,66,35,29,7
2020,1,R,전통시장,1001270,창신골목시장,13,7,6,0,0,2,4,4,3,0,0,2,2,1,2,0,0,0,2,3,1
2020,1,R,전통시장,1001269,동문시장,3,1,2,0,0,2,0,0,1,0,0,0,0,0,1,0,0,2,0,0,0
2020,1,R,전통시장,1001268,충신시장,77,40,37,0,19,17,15,15,11,0,7,11,6,7,9,0,12,6,9,8,2
2020,1,R,전통시장,1001267,종로신진시장,158,89,69,0,13,25,46,36,38,0,11,16,19,19,24,0,2,9,27,17,14
2020,1,R,전통시장,1001266,동대문종합시장,1319,965,354,2,156,325,348,339,149,0,116,251,238,247,113,2,40,74,110,92,36
2020,1,R,전통시장,1001265,광장시장,444,301,143,0,39,73,92,123,117,0,22,41,68,77,93,0,17,32,24,46,24
2020,1,R,전통시장,1001264,통인시장,59,29,30,0,4,14,11,12,18,0,2,4,6,6,11,0,2,10,5,6,7
2020,1,D,발달상권,1001263,서울 노원구 노원역_3,418,159,259,3,102,53,90,90,80,0,24,23,33,38,41,3,78,30,57,52,39
2020,1,D,발달상권,1001262,서울 노원구 노원역_2,274,126,148,2,48,46,69,64,45,1,13,20,39,26,27,1,35,26,30,38,18
2020,1,D,발달상권,1001261,서울 노원구 노원역_1,336,86,250,2,105,65,69,48,47,0,17,12,23,19,15,2,88,53,46,29,32
2020,1,D,발달상권,1001260,창동역,1003,570,433,0,128,204,240,203,228,0,52,94,123,119,182,0,76,110,117,84,46
2020,1,D,발달상권,1001259,서울 강북구 수유역_3,70,36,34,0,6,19,21,15,9,0,0,10,12,7,7,0,6,9,9,8,2
2020,1,D,발달상권,1001258,등나무근린공원 주변,65,19,46,0,5,7,27,20,6,0,2,0,6,8,3,0,3,7,21,12,3
2020,1,D,발달상권,1001257,서울 강북구 수유역_2,2284,1108,1176,9,237,589,586,598,265,8,75,219,262,390,154,1,162,370,324,208,111
2020,1,D,발달상권,1001256,서울 강북구 수유역_1,831,408,423,0,84,98,137,212,300,0,18,43,70,111,166,0,66,55,67,101,134
2020,1,D,발달상권,1001255,서울 은평구 연신내역_3,108,20,88,0,9,15,17,28,39,0,1,5,3,4,7,0,8,10,14,24,32
2020,1,D,발달상권,1001254,서울 은평구 연신내역_2,555,168,387,2,155,131,133,88,46,1,26,36,38,34,33,1,129,95,95,54,13
2020,1,D,발달상권,1001253,서울 은평구 연신내역_1,70,25,45,0,7,16,18,11,18,0,3,5,5,4,8,0,4,11,13,7,10
2020,1,D,발달상권,1001252,서울 성북구 미아삼거리역_2,322,144,178,1,42,84,83,84,28,1,12,33,37,48,13,0,30,51,46,36,15
2020,1,D,발달상권,1001251,서울 강북구 미아삼거리역_1,140,86,54,0,25,28,28,31,28,0,10,16,20,18,22,0,15,12,8,13,6
2020,1,D,발달상권,1001250,서울 은평구 불광역_3,67,24,43,0,6,12,14,22,13,0,0,5,5,5,9,0,6,7,9,17,4
2020,1,D,발달상권,1001249,서울 은평구 불광역_2,116,39,77,0,15,24,18,22,37,0,2,8,8,9,12,0,13,16,10,13,25
2020,1,D,발달상권,1001248,서울 은평구 불광역_1,180,73,107,1,17,30,40,56,36,1,5,7,17,23,20,0,12,23,23,33,16
2020,1,D,발달상권,1001247,미아사거리_2,102,47,55,2,17,25,31,17,10,2,4,10,19,8,4,0,13,15,12,9,6
2020,1,D,발달상권,1001246,미아사거리_1,210,68,142,0,22,33,48,69,38,0,11,13,15,12,17,0,11,20,33,57,21
2020,1,D,발달상권,1001245,서울 성북구 성신여대입구역,2865,1629,1236,11,290,743,775,869,177,5,119,304,436,638,127,6,171,439,339,231,50
2020,1,D,발달상권,1001244,경희대학교,70,24,46,0,9,19,16,11,15,0,5,7,5,3,4,0,4,12,11,8,11
2020,1,D,발달상권,1001243,서울 성북구 안암역,59,28,31,1,12,16,12,8,10,0,5,9,7,2,5,1,7,7,5,6,5
2020,1,D,발달상권,1001242,혜화역 대학로_3,477,210,267,1,57,123,134,75,87,0,19,40,60,34,57,1,38,83,74,41,30
2020,1,D,발달상권,1001241,혜화역 대학로_2,334,256,78,1,14,37,100,137,45,0,4,28,86,114,24,1,10,9,14,23,21
2020,1,D,발달상권,1001240,혜화역 대학로_1,1230,573,657,8,203,350,256,165,248,4,56,110,120,96,187,4,147,240,136,69,61
2020,1,D,발달상권,1001239,디지털미디어시티,6727,3880,2847,19,1352,2498,2095,617,146,11,642,1464,1231,421,111,8,710,1034,864,196,35
2020,1,D,발달상권,1001238,서울 동대문구 청량리역,776,413,363,3,124,115,138,181,215,2,54,61,67,97,132,1,70,54,71,84,83
2020,1,D,발달상권,1001237,서울 종로구 경복궁역_2,239,107,132,0,35,62,52,43,47,0,13,14,23,28,29,0,22,48,29,15,18
2020,1,D,발달상권,1001236,서울 종로구 안국역_2,810,409,401,2,136,228,242,153,49,0,44,110,126,92,37,2,92,118,116,61,12
2020,1,D,발달상권,1001235,서울 종로구 안국역_1,8804,7324,1480,4,816,3152,2766,1683,383,4,540,2585,2359,1526,310,0,276,567,407,157,73
2020,1,D,발달상권,1001234,서울 종로구 경복궁역_1,599,413,186,4,59,113,127,128,168,0,26,73,80,96,138,4,33,40,47,32,30
2020,1,D,발달상권,1001233,서울 종로구 종로3가역_3,2136,1442,694,10,380,643,602,363,138,3,183,437,467,254,98,7,197,206,135,109,40
2020,1,D,발달상권,1001232,서울 종로구 종로3가역_2,1823,948,875,4,380,555,344,286,254,4,161,301,167,149,166,0,219,254,177,137,88
2020,1,D,발달상권,1001231,서울 동대문구 신설동역_2,5440,2247,3193,4,641,1009,1217,1538,1031,1,213,526,677,473,357,3,428,483,540,1065,674
2020,1,D,발달상권,1001230,인사동,26072,14829,11243,1264,8971,6611,4868,3002,1356,589,4272,3742,3219,2172,835,675,4699,2869,1649,830,521
2020,1,D,발달상권,1001229,서울 종로구 종로5가역_4,1358,810,548,3,156,480,430,197,92,0,52,247,281,156,74,3,104,233,149,41,18
2020,1,D,발달상권,1001228,서울 종로구 종로5가역_3,1766,1160,606,3,251,446,420,379,267,1,117,261,264,299,218,2,134,185,156,80,49
2020,1,D,발달상권,1001227,종로구청,20709,10947,9762,13,2292,6864,7103,3437,1000,5,738,2911,4125,2505,663,8,1554,3953,2978,932,337
2020,1,D,발달상권,1001226,서울 종로구 종로5가역_2,16173,10184,5989,432,3951,5181,3917,2173,519,114,1661,3340,2956,1772,341,318,2290,1841,961,401,178
2020,1,D,발달상권,1001225,신설동역,118,54,64,0,4,24,33,31,26,0,3,9,10,14,18,0,1,15,23,17,8
2020,1,D,발달상권,1001224,서울 동대문구 신설동역_1,1543,677,866,1,155,220,264,365,538,0,38,73,128,150,288,1,117,147,136,215,250
2020,1,D,발달상권,1001223,서울 종로구 광화문역_2,27999,17199,10800,32,3393,7355,8035,6017,3167,10,1412,4714,5366,3871,1826,22,1981,2641,2669,2146,1341
2020,1,D,발달상권,1001222,동묘앞역,223,138,85,0,27,41,44,66,45,0,9,20,31,41,37,0,18,21,13,25,8
2020,1,D,발달상권,1001221,장안동사거리,1587,632,955,2,254,377,461,340,153,1,66,149,163,153,100,1,188,228,298,187,53
2020,1,D,발달상권,1001220,서울 종로구 동대문역_2,748,244,504,1,57,140,273,161,116,0,19,39,54,54,78,1,38,101,219,107,38
2020,1,D,발달상권,1001219,서울 종로구 동대문역_1,28,17,11,0,0,2,3,11,12,0,0,1,0,8,8,0,0,1,3,3,4
2020,1,D,발달상권,1001218,동대문시장_2,195,123,72,0,13,23,36,60,63,0,4,10,23,36,50,0,9,13,13,24,13
2020,1,D,발달상권,1001217,서울 종로구 종로5가역_1,22,9,13,0,0,4,5,6,7,0,0,0,5,0,4,0,0,4,0,6,3
2020,1,D,발달상권,1001216,서울 종로구 종로3가역_1,2657,1167,1490,3,418,737,592,496,411,0,113,285,252,256,261,3,305,452,340,240,150
2020,1,D,발달상권,1001215,서울 종로구 광화문역_1,12759,8498,4261,19,2101,4333,4038,1864,404,3,968,2698,2991,1519,319,16,1133,1635,1047,345,85
2020,1,D,발달상권,1001214,종각역,10396,8086,2310,7,1633,3215,2625,2716,200,1,989,2178,2154,2582,182,6,644,1037,471,134,18
2020,1,D,발달상권,1001213,종각역 젊음의 거리,13040,3576,9464,48,2566,4337,4204,1653,232,13,802,1471,897,264,129,35,1764,2866,3307,1389,103
2020,1,D,발달상권,1001212,서대문구 서대문역_1,99,67,32,1,10,20,24,28,16,1,4,10,17,19,16,0,6,10,7,9,0
2020,1,D,발달상권,1001211,동대문시장_1,1663,493,1170,0,424,687,250,238,64,0,78,200,109,70,36,0,346,487,141,168,28
2020,1,D,발달상권,1001210,시청역_2,14646,9603,5043,66,2984,4856,4028,2143,569,29,1335,2997,3082,1688,472,37,1649,1859,946,455,97
2020,1,D,발달상권,1001209,서울시청,9257,4890,4367,11,2138,2836,2456,1273,543,3,774,1391,1483,854,385,8,1364,1445,973,419,158
2020,1,D,발달상권,1001208,서울 중구 을지로3가역_2,3181,2166,1015,5,367,777,795,650,587,1,169,518,553,463,462,4,198,259,242,187,125
2020,1,D,발달상권,1001207,서울 중구 신당역_2,939,534,405,8,164,218,215,172,162,2,71,121,118,114,108,6,93,97,97,58,54
2020,1,D,발달상권,1001206,서대문구 서대문역_2,1486,1018,468,0,253,523,370,278,62,0,107,337,281,248,45,0,146,186,89,30,17
2020,1,D,발달상권,1001205,동대문역사문화공원역,3166,2548,618,0,385,890,987,596,308,0,324,761,830,438,195,0,61,129,157,158,113
2020,1,D,발달상권,1001204,서울 중구 을지로3가역_1,4549,2258,2291,9,524,1204,1241,954,617,1,136,510,617,589,405,8,388,694,624,365,212
2020,1,D,발달상권,1001203,명동거리,8147,4244,3903,32,1358,2124,2323,1377,933,16,569,976,1265,853,565,16,789,1148,1058,524,368
2020,1,D,발달상권,1001202,롯데백화점,27149,9657,17492,236,13497,8422,2946,1798,250,71,3513,3007,1835,1029,202,165,9984,5415,1111,769,48
2020,1,D,발달상권,1001201,서울 중구 신당역_1,277,142,135,0,39,41,59,61,77,0,10,15,31,33,53,0,29,26,28,28,24
2020,1,D,발달상권,1001200,북창동,5197,3160,2037,24,1010,1611,1149,767,636,2,391,936,852,543,436,22,619,675,297,224,200
2020,1,D,발달상권,1001199,서울 중구 충무로역_2,16329,7851,8478,75,2774,4426,4616,3271,1167,23,832,2343,2394,1543,716,52,1942,2083,2222,1728,451
2020,1,D,발달상권,1001198,서울 강서구 송정역,335,140,195,0,38,64,82,87,64,0,10,24,31,30,45,0,28,40,51,57,19
2020,1,D,발달상권,1001197,장한평역_2,1492,995,497,4,250,365,402,273,198,3,162,246,264,169,151,1,88,119,138,104,47
2020,1,D,발달상권,1001196,시청역_1,24904,15705,9199,74,4236,8557,7434,3643,960,13,1766,4682,5429,3121,694,61,2470,3875,2005,522,266
2020,1,D,발달상권,1001195,왕십리역_2,233,102,131,1,51,50,45,45,41,0,16,21,21,19,25,1,35,29,24,26,16
2020,1,D,발달상권,1001194,서울 강서구 발산역,983,431,552,1,121,225,298,244,94,0,34,91,134,105,67,1,87,134,164,139,27
2020,1,D,발달상권,1001193,장한평역_1,1129,748,381,9,71,173,200,159,517,6,24,91,123,104,400,3,47,82,77,55,117
2020,1,D,발달상권,1001192,서울 중구 충무로역_1,3743,2160,1583,3,569,927,1190,778,276,2,251,542,639,531,195,1,318,385,551,247,81
2020,1,D,발달상권,1001191,왕십리역_1,8,2,6,0,0,1,4,2,1,0,0,0,1,0,1,0,0,1,3,2,0
2020,1,D,발달상권,1001190,장한평역,3644,2178,1466,29,1038,1026,646,552,353,1,444,680,421,350,282,28,594,346,225,202,71
2020,1,D,발달상권,1001189,서울 중구 명동역,3595,1952,1643,8,546,1084,980,656,321,5,233,628,546,375,165,3,313,456,434,281,156
2020,1,D,발달상권,1001188,장충동 족발거리,2100,985,1115,12,557,716,521,206,88,0,101,354,339,143,48,12,456,362,182,63,40
2020,1,D,발달상권,1001187,한양시장,55,30,25,0,6,10,13,13,13,0,4,6,4,9,7,0,2,4,9,4,6
2020,1,D,발달상권,1001186,서울 서대문구 이대역,380,160,220,4,75,78,102,73,48,1,27,28,38,31,35,3,48,50,64,42,13
2020,1,D,발달상권,1001185,서울 서대문구 신촌역,924,404,520,6,192,225,217,183,101,4,71,88,100,86,55,2,121,137,117,97,46
2020,1,D,발달상권,1001184,서울 마포구 홍대입구역_3,659,386,273,1,102,136,182,138,100,1,33,83,109,92,68,0,69,53,73,46,32
2020,1,D,발달상권,1001183,서울 마포구 홍대입구역_2,977,535,442,8,181,277,206,148,157,4,65,145,126,97,98,4,116,132,80,51,59
2020,1,D,발달상권,1001182,홍익대학교 주변,8725,5062,3663,86,2052,2308,1888,1433,958,58,988,1319,1181,821,695,28,1064,989,707,612,263
2020,1,D,발달상권,1001181,서울 광진구 군자역,621,342,279,2,92,145,187,123,72,2,34,79,101,71,55,0,58,66,86,52,17
2020,1,D,발달상권,1001180,신촌역,4403,2012,2391,61,2189,958,459,413,323,19,924,496,198,193,182,42,1265,462,261,220,141
2020,1,D,발달상권,1001179,강서구청,4278,2468,1810,2,621,1337,1106,1004,208,1,238,701,650,729,149,1,383,636,456,275,59
2020,1,D,발달상권,1001178,서울 마포구 홍대입구역_1,1618,826,792,6,370,510,369,227,136,2,131,237,204,143,109,4,239,273,165,84,27
2020,1,D,발달상권,1001177,서울 중구 약수역_2,210,91,119,0,38,38,48,50,36,0,7,13,21,28,22,0,31,25,27,22,14
2020,1,D,발달상권,1001176,서울 중구 약수역_1,24,6,18,0,2,3,6,4,9,0,0,0,3,0,3,0,2,3,3,4,6
2020,1,D,발달상권,1001175,서울 강동구 고덕역,1359,916,443,3,172,305,337,317,225,1,75,198,249,221,172,2,97,107,88,96,53
2020,1,D,발달상권,1001174,등촌역,64,37,27,0,5,11,6,12,30,0,1,6,5,5,20,0,4,5,1,7,10
2020,1,D,발달상권,1001173,서울 강동구 명일역,671,252,419,4,81,104,172,176,134,2,33,41,65,57,54,2,48,63,107,119,80
2020,1,D,발달상권,1001172,어린이대공원역,41,17,24,0,5,3,13,13,7,0,1,1,5,4,6,0,4,2,8,9,1
2020,1,D,발달상권,1001171,서울 마포구 공덕역_2,3697,2404,1293,9,703,874,1094,916,101,1,276,466,760,822,79,8,427,408,334,94,22
2020,1,D,발달상권,1001170,공덕역,2092,1198,894,4,366,628,544,439,111,2,105,315,337,351,88,2,261,313,207,88,23
2020,1,D,발달상권,1001169,서울 용산구 숙대입구역,3807,1436,2371,7,395,840,1369,1110,86,1,233,512,475,190,25,6,162,328,894,920,61
2020,1,D,발달상권,1001168,남영역,4055,2796,1259,20,750,1490,1024,556,215,8,370,894,831,509,184,12,380,596,193,47,31
2020,1,D,발달상권,1001167,서울 마포구 공덕역_1,2420,796,1624,8,575,414,504,810,109,4,252,223,144,100,73,4,323,191,360,710,36
2020,1,D,발달상권,1001166,서울 마포구 마포역_2,10151,6130,4021,11,1542,2551,2393,1998,1656,9,766,1512,1639,1200,1004,2,776,1039,754,798,652
2020,1,D,발달상권,1001165,서울 광진구 건대입구역_2,529,268,261,5,120,99,97,96,112,2,32,39,53,63,79,3,88,60,44,33,33
2020,1,D,발달상권,1001164,서울 마포구 마포역_1,3369,2292,1077,4,692,1065,808,510,290,1,334,728,619,403,207,3,358,337,189,107,83
2020,1,D,발달상권,1001163,서울 강동구 천호역_2,1208,565,643,5,142,222,290,254,295,2,49,96,115,106,197,3,93,126,175,148,98
2020,1,D,발달상권,1001162,서울 광진구 건대입구역_1,109,52,57,0,8,18,29,24,30,0,2,6,12,10,22,0,6,12,17,14,8
2020,1,D,발달상권,1001161,건대입구역,24,11,13,0,5,2,5,8,4,0,2,2,2,3,2,0,3,0,3,5,2
2020,1,D,발달상권,1001160,서울 광진구 구의역,928,584,344,6,105,148,250,239,180,6,52,85,152,168,121,0,53,63,98,71,59
2020,1,D,발달상권,1001159,서울 강동구 천호역,259,93,166,1,34,63,54,67,40,0,5,14,28,25,21,1,29,49,26,42,19
2020,1,D,발달상권,1001158,당산역_2,1429,1069,360,0,119,167,235,300,608,0,81,117,157,228,486,0,38,50,78,72,122
2020,1,D,발달상권,1001157,서울 강동구 천호역_1,138,57,81,0,30,22,27,29,30,0,9,9,7,16,16,0,21,13,20,13,14
2020,1,D,발달상권,1001156,서울 강동구 길동역,2628,1190,1438,10,273,433,643,763,506,6,140,259,321,226,238,4,133,174,322,537,268
2020,1,D,발달상권,1001155,용산 전자상가_5,1976,1461,515,8,368,701,562,250,87,7,247,537,422,179,69,1,121,164,140,71,18
2020,1,D,발달상권,1001154,용산 전자상가_4,248,182,66,1,42,85,61,29,30,0,27,63,45,21,26,1,15,22,16,8,4
2020,1,D,발달상권,1001153,당산역_1,310,186,124,1,27,56,90,73,63,1,6,33,47,44,55,0,21,23,43,29,8
2020,1,D,발달상권,1001152,서울 광진구 강변역,1337,859,478,4,265,348,335,234,151,1,114,246,250,153,95,3,151,102,85,81,56
2020,1,D,발달상권,1001151,용산 전자상가_3,1752,1311,441,5,270,605,510,253,109,2,167,447,399,202,94,3,103,158,111,51,15
2020,1,D,발달상권,1001150,서울 용산구 이태원역,452,292,160,8,82,98,96,82,86,6,51,63,56,54,62,2,31,35,40,28,24
2020,1,D,발달상권,1001149,한남오거리,823,524,299,3,163,333,191,82,51,2,70,214,145,55,38,1,93,119,46,27,13
2020,1,D,발달상권,1001148,목동사거리,41,13,28,0,4,9,10,10,8,0,0,1,2,4,6,0,4,8,8,6,2
2020,1,D,발달상권,1001147,용산 전자상가_2,392,317,75,12,75,123,122,45,15,10,67,99,93,36,12,2,8,24,29,9,3
2020,1,D,발달상권,1001146,용산구청,1526,755,771,1,159,437,404,431,94,1,43,141,195,298,77,0,116,296,209,133,17
2020,1,D,발달상권,1001145,용산 전자상가_1,3893,2851,1042,18,653,1252,1021,732,217,12,383,882,805,612,157,6,270,370,216,120,60
2020,1,D,발달상권,1001144,국회의사당역_2,19439,11619,7820,54,4443,6681,4812,2304,1145,21,2014,3953,3277,1552,802,33,2429,2728,1535,752,343
2020,1,D,발달상권,1001143,서울 용산구 신용산역,979,675,304,1,135,259,255,238,91,1,68,168,196,167,75,0,67,91,59,71,16
